Planet Name,Kepler ID,KOI Name,Alt Name,RA (J2000),Dec (J2000),Planet temp,Planet Radius,Transit duration,Period,Impact Parameter,Inclination,Provenance,a/R,Transit Number,Transit Model,Time of transit,Transit Depth,Semi-major Axis,r/R,r/R err1,Age,Stellar Mass,Stellar Radius,Stellar Teff,Logg,KEP Mag,g Mag,r Mag,i Mag,z Mag,J Mag,H Mag,K Mag,KOI List,Last Update,KOI Vet Date
string,integer,string,string,ra,dec,integer,float,float,float,float,float,string,float,integer,string,float,real,float,float,float,float,float,float,integer,float,float,float,float,float,float,float,float,float,string,string,datetime
Kepler-1 b,11446443,K00001.01,TrES-2 b,19 07 14.033,+49 18 59.04,1394,14.400,1.725,2.471,0.822,84.220,SPC,8.445,,Mandel and Agol (2002 ApJ 580 171),122.763,14284.0,0.036,0.124,8.000e-5,6.500,0.995,1.060,5814,4.380,11.338,11.736,11.275,11.168,11.126,10.232,9.920,9.846,YES,2013-03-05,2013-12-19 00:00:00
Kepler-10 b,11904151,K00072.01,Kepler-10 b,19 02 43.052,+50 14 28.68,1903,1.370,1.803,0.837,0.174,87.090,SME,3.591,,Mandel and Agol (2002 ApJ 580 171),131.574,195.0,0.017,0.013,7.000e-5,10.000,0.905,1.000,5627,4.390,10.961,11.388,10.920,10.778,10.729,9.889,9.563,9.496,YES,2013-03-05,2013-10-25 00:00:00
Kepler-10 c,11904151,K00072.02,Kepler-10 c,19 02 43.052,+50 14 28.68,505,2.190,6.859,45.294,0.068,89.950,SME,51.360,,Mandel and Agol (2002 ApJ 580 171),138.678,495.0,0.241,0.020,1.300e-4,10.000,0.905,1.000,5627,4.390,10.961,11.388,10.920,10.778,10.729,9.889,9.563,9.496,YES,2013-03-05,2013-12-19 00:00:00
Kepler-100 b,6521045,K00041.02,Kepler-100 b,19 25 32.637,+41 59 24.97,1071,1.240,4.476,6.887,0.865,81.930,SME,6.180,,Mandel and Agol (2002 ApJ 580 171),133.176,75.0,0.073,0.009,1.600e-4,4.600,1.110,1.230,5909,4.300,11.197,11.585,11.125,11.030,10.992,10.081,9.804,9.768,YES,2014-01-06,2013-12-19 00:00:00
Kepler-100 c,6521045,K00041.01,Kepler-100 c,19 25 32.637,+41 59 24.97,869,2.080,6.538,12.816,0.803,84.800,SME,9.350,,Mandel and Agol (2002 ApJ 580 171),122.951,229.0,0.111,0.015,1.000e-4,4.600,1.110,1.230,5909,4.300,11.197,11.585,11.125,11.030,10.992,10.081,9.804,9.768,YES,2014-01-06,2013-12-19 00:00:00
Kepler-100 d,6521045,K00041.03,Kepler-100 d,19 25 32.637,+41 59 24.97,620,1.400,6.143,35.333,0.920,87.090,SME,18.380,,Mandel and Agol (2002 ApJ 580 171),153.984,87.0,0.218,0.010,3.000e-4,4.600,1.110,1.230,5909,4.300,11.197,11.585,11.125,11.030,10.992,10.081,9.804,9.768,YES,2014-01-06,2013-12-19 00:00:00
Kepler-101 b,10905239,K00046.01,Kepler-101 b,18 53 01.318,+48 21 18.84,1233,4.330,4.024,3.488,0.753,80.790,SPC,4.785,,Mandel and Agol (2002 ApJ 580 171),170.931,1295.0,0.047,0.036,1.000e-4,2.300,1.127,1.105,5764,4.400,13.770,14.406,13.720,13.497,,12.403,12.112,12.011,YES,2014-02-26,2013-12-19 00:00:00
Kepler-101 c,10905239,K00046.02,Kepler-101 c,18 53 01.318,+48 21 18.84,1032,0.960,3.791,6.029,0.837,83.080,SPC,6.890,,Mandel and Agol (2002 ApJ 580 171),132.515,61.0,0.067,0.008,5.900e-4,2.300,1.127,1.105,5764,4.400,13.770,14.406,13.720,13.497,,12.403,12.112,12.011,YES,2014-02-26,2013-10-25 00:00:00
Kepler-102 b,10187017,K00082.05,Kepler-102 b,18 45 55.854,+47 12 28.91,792,0.540,2.439,5.287,0.794,85.370,SME,10.300,,Mandel and Agol (2002 ApJ 580 171),135.847,42.0,0.055,0.007,3.200e-4,5.100,0.800,0.736,4908,4.610,11.492,12.289,11.428,11.150,11.034,9.984,9.446,9.351,YES,2014-01-06,2013-12-19 00:00:00
Kepler-102 c,10187017,K00082.04,Kepler-102 c,18 45 55.854,+47 12 28.91,718,0.690,3.263,7.071,0.672,87.090,SME,12.500,,Mandel and Agol (2002 ApJ 580 171),139.988,78.0,0.067,0.009,2.400e-4,5.100,0.800,0.736,4908,4.610,11.492,12.289,11.428,11.150,11.034,9.984,9.446,9.351,YES,2014-01-06,2013-12-19 00:00:00
Kepler-102 d,10187017,K00082.02,Kepler-102 d,18 45 55.854,+47 12 28.91,634,1.340,3.207,10.312,0.780,87.090,SME,16.000,,Mandel and Agol (2002 ApJ 580 171),134.080,267.0,0.086,0.017,2.900e-4,5.100,0.800,0.736,4908,4.610,11.492,12.289,11.428,11.150,11.034,9.984,9.446,9.351,YES,2014-01-06,2013-12-19 00:00:00
Kepler-102 e,10187017,K00082.01,Kepler-102 e,18 45 55.854,+47 12 28.91,545,2.540,3.754,16.146,0.794,87.660,SME,21.600,,Mandel and Agol (2002 ApJ 580 171),134.753,951.0,0.116,0.032,4.900e-4,5.100,0.800,0.736,4908,4.610,11.492,12.289,11.428,11.150,11.034,9.984,9.446,9.351,YES,2014-01-06,2013-12-19 00:00:00
Kepler-102 f,10187017,K00082.03,Kepler-102 f,18 45 55.854,+47 12 28.91,457,1.080,3.829,27.454,0.843,88.240,SME,30.800,,Mandel and Agol (2002 ApJ 580 171),145.026,159.0,0.165,0.013,3.300e-4,5.100,0.800,0.736,4908,4.610,11.492,12.289,11.428,11.150,11.034,9.984,9.446,9.351,YES,2014-01-06,2013-12-19 00:00:00
Kepler-103 b,4914423,K00108.01,Kepler-103 b,19 15 56.294,+40 03 52.30,805,2.940,4.652,15.965,0.797,87.090,SME,16.790,,Mandel and Agol (2002 ApJ 580 171),142.176,482.0,0.130,0.022,1.400e-4,3.400,1.156,1.210,5975,4.330,12.287,12.649,12.214,12.132,12.091,11.193,10.941,10.873,YES,2014-01-06,2014-06-10 00:00:00
Kepler-103 c,4914423,K00108.02,Kepler-103 c,19 15 56.294,+40 03 52.30,359,4.460,13.436,179.601,0.622,89.380,SME,84.300,,Mandel and Agol (2002 ApJ 580 171),295.330,1234.0,0.654,0.034,1.700e-4,3.400,1.156,1.210,5975,4.330,12.287,12.649,12.214,12.132,12.091,11.193,10.941,10.873,YES,2014-01-06,2014-06-10 00:00:00
Kepler-104 b,6678383,K00111.01,Kepler-104 b,19 10 25.107,+42 10 00.40,801,2.140,4.587,11.428,0.539,88.240,SME,16.500,,Mandel and Agol (2002 ApJ 580 171),137.614,496.0,0.092,0.021,2.000e-4,12.900,0.807,0.930,5711,4.410,12.596,12.956,12.557,12.442,12.397,11.558,11.251,11.209,YES,2014-02-26,2014-06-10 00:00:00
Kepler-104 c,6678383,K00111.02,Kepler-104 c,19 10 25.107,+42 10 00.40,627,2.050,5.756,23.668,0.558,88.810,SME,26.800,,Mandel and Agol (2002 ApJ 580 171),132.713,455.0,0.150,0.020,2.300e-4,12.900,0.807,0.930,5711,4.410,12.596,12.956,12.557,12.442,12.397,11.558,11.251,11.209,YES,2014-02-26,2014-06-10 00:00:00
Kepler-104 d,6678383,K00111.03,Kepler-104 d,19 10 25.107,+42 10 00.40,483,2.360,7.386,51.756,0.578,89.380,SME,45.200,,Mandel and Agol (2002 ApJ 580 171),271.083,598.0,0.253,0.023,2.600e-4,12.900,0.807,0.930,5711,4.410,12.596,12.956,12.557,12.442,12.397,11.558,11.251,11.209,YES,2014-02-26,2014-06-10 00:00:00
Kepler-105 b,9579641,K00115.01,Kepler-105 b,19 11 32.959,+46 16 34.47,1296,3.380,2.820,5.412,0.438,88.240,Pinsonneault,13.600,,Mandel and Agol (2002 ApJ 580 171),133.142,598.0,0.064,0.023,2.100e-4,3.170,1.180,1.350,6398,4.250,12.791,13.111,12.732,12.654,12.648,11.811,11.555,11.503,YES,2014-01-16,2013-12-19 00:00:00
Kepler-105 c,9579641,K00115.02,Kepler-105 c,19 11 32.959,+46 16 34.47,1182,1.910,2.825,7.126,0.558,88.240,Pinsonneault,16.300,,Mandel and Agol (2002 ApJ 580 171),139.003,185.0,0.077,0.013,2.300e-4,3.170,1.180,1.350,6398,4.250,12.791,13.111,12.732,12.654,12.648,11.811,11.555,11.503,YES,2014-02-26,2013-12-19 00:00:00
Kepler-106 b,8395660,K00116.03,Kepler-106 b,20 03 27.356,+44 20 15.18,1025,0.810,2.746,6.165,0.550,87.660,SME,14.500,,Mandel and Agol (2002 ApJ 580 171),135.634,57.0,0.066,0.007,4.500e-4,5.200,1.002,1.040,5865,4.410,12.882,13.293,12.850,12.706,12.646,11.752,11.494,11.431,YES,2014-01-06,2013-12-19 00:00:00
Kepler-106 c,8395660,K00116.01,Kepler-106 c,20 03 27.356,+44 20 15.18,791,2.470,3.247,13.571,0.672,88.240,SME,24.600,,Mandel and Agol (2002 ApJ 580 171),136.280,504.0,0.111,0.022,6.500e-4,5.200,1.002,1.040,5865,4.410,12.882,13.293,12.850,12.706,12.646,11.752,11.494,11.431,YES,2014-01-06,2013-12-19 00:00:00
Kepler-106 d,8395660,K00116.04,Kepler-106 d,20 03 27.356,+44 20 15.18,653,0.930,4.679,23.981,0.420,89.380,SME,36.000,,Mandel and Agol (2002 ApJ 580 171),147.528,79.0,0.163,0.008,5.600e-4,5.200,1.002,1.040,5865,4.410,12.882,13.293,12.850,12.706,12.646,11.752,11.494,11.431,YES,2014-01-06,2013-10-25 00:00:00
Kepler-106 e,8395660,K00116.02,Kepler-106 e,20 03 27.356,+44 20 15.18,533,2.520,6.329,43.844,0.120,89.950,SME,54.000,,Mandel and Agol (2002 ApJ 580 171),151.934,613.0,0.244,0.022,6.600e-4,5.200,1.002,1.040,5865,4.410,12.882,13.293,12.850,12.706,12.646,11.752,11.494,11.431,YES,2014-01-06,2013-12-19 00:00:00
Kepler-107 b,10875245,K00117.03,Kepler-107 b,19 48 06.782,+48 12 31.00,1345,1.580,3.731,3.180,0.932,69.900,SPC,2.740,,Mandel and Agol (2002 ApJ 580 171),133.504,117.0,0.045,0.012,1.900e-4,2.300,1.183,1.180,5949,4.370,12.487,12.904,12.427,12.309,12.274,11.392,11.114,11.060,YES,2014-02-26,2013-12-19 00:00:00
Kepler-107 c,10875245,K00117.02,Kepler-107 c,19 48 06.782,+48 12 31.00,1165,1.710,4.410,4.901,0.924,75.630,SPC,3.650,,Mandel and Agol (2002 ApJ 580 171),138.604,140.0,0.060,0.013,2.000e-4,2.300,1.183,1.180,5949,4.370,12.487,12.904,12.427,12.309,12.274,11.392,11.114,11.060,YES,2014-02-26,2013-12-19 00:00:00
Kepler-107 d,10875245,K00117.04,Kepler-107 d,19 48 06.782,+48 12 31.00,991,1.080,4.280,7.958,0.946,79.070,SPC,5.050,,Mandel and Agol (2002 ApJ 580 171),137.816,52.0,0.083,0.008,3.800e-4,2.300,1.183,1.180,5949,4.370,12.487,12.904,12.427,12.309,12.274,11.392,11.114,11.060,YES,2014-02-26,2013-12-19 00:00:00
Kepler-107 e,10875245,K00117.01,Kepler-107 e,19 48 06.782,+48 12 31.00,807,2.930,6.716,14.749,0.918,83.080,SPC,7.620,,Mandel and Agol (2002 ApJ 580 171),138.779,420.0,0.125,0.023,1.600e-4,2.300,1.183,1.180,5949,4.370,12.487,12.904,12.427,12.309,12.274,11.392,11.114,11.060,YES,2014-02-26,2013-12-19 00:00:00
Kepler-108 b,9471974,K00119.01,Kepler-108 b,19 38 14.202,+46 03 44.38,480,3.900,11.474,49.184,0.554,88.810,Pinsonneault,28.730,,Mandel and Agol (2002 ApJ 580 171),141.910,1590.0,0.252,0.038,9.000e-5,8.900,0.890,0.940,5632,4.440,12.654,13.127,12.528,12.452,12.313,11.430,11.065,10.983,YES,2014-02-26,2014-06-10 00:00:00
Kepler-108 c,9471974,K00119.02,Kepler-108 c,19 38 14.202,+46 03 44.38,306,3.400,15.635,190.313,0.698,89.380,Pinsonneault,70.810,,Mandel and Agol (2002 ApJ 580 171),312.681,1138.0,0.622,0.033,2.000e-4,8.900,0.890,0.940,5632,4.440,12.654,13.127,12.528,12.452,12.313,11.430,11.065,10.983,YES,2014-02-26,2014-06-10 00:00:00
Kepler-109 b,5094751,K00123.01,Kepler-109 b,19 21 34.255,+40 17 05.53,1181,2.640,3.633,6.482,0.563,87.090,SME,11.600,,Mandel and Agol (2002 ApJ 580 171),122.974,315.0,0.069,0.017,1.500e-4,7.290,1.057,1.430,5871,4.150,12.365,12.735,12.300,12.206,12.175,11.314,11.046,11.001,YES,2014-01-06,2013-12-19 00:00:00
Kepler-109 c,5094751,K00123.02,Kepler-109 c,19 21 34.255,+40 17 05.53,793,2.710,6.471,21.223,0.010,89.950,SME,25.500,,Mandel and Agol (2002 ApJ 580 171),137.574,362.0,0.153,0.017,1.600e-4,7.290,1.057,1.430,5871,4.150,12.365,12.735,12.300,12.206,12.175,11.314,11.046,11.001,YES,2014-01-06,2013-12-19 00:00:00
Kepler-11 b,6541920,K00157.06,Kepler-11 b,19 48 27.627,+41 54 32.91,851,1.720,4.028,10.304,0.150,89.380,SME,19.600,,Mandel and Agol (2002 ApJ 580 171),138.504,260.0,0.092,0.015,2.600e-4,7.200,0.984,1.060,5685,4.380,13.709,14.178,13.653,13.508,13.455,12.548,12.237,12.180,YES,2013-03-05,2014-06-10 00:00:00
Kepler-11 c,6541920,K00157.01,Kepler-11 c,19 48 27.627,+41 54 32.91,785,2.880,4.431,13.025,0.080,89.950,SME,22.900,,Mandel and Agol (2002 ApJ 580 171),138.178,739.0,0.108,0.025,2.700e-4,7.200,0.984,1.060,5685,4.380,13.709,14.178,13.653,13.508,13.455,12.548,12.237,12.180,YES,2013-03-05,2014-06-10 00:00:00
Kepler-11 d,6541920,K00157.02,Kepler-11 d,19 48 27.627,+41 54 32.91,653,3.200,5.353,22.687,0.060,89.950,SME,33.200,,Mandel and Agol (2002 ApJ 580 171),148.455,914.0,0.156,0.028,3.000e-4,7.200,0.984,1.060,5685,4.380,13.709,14.178,13.653,13.508,13.455,12.548,12.237,12.180,YES,2013-03-05,2014-06-10 00:00:00
Kepler-11 e,6541920,K00157.03,Kepler-11 e,19 48 27.627,+41 54 32.91,583,4.180,4.275,31.995,0.735,88.810,SME,41.800,,Mandel and Agol (2002 ApJ 580 171),154.161,1343.0,0.196,0.036,4.600e-4,7.200,0.984,1.060,5685,4.380,13.709,14.178,13.653,13.508,13.455,12.548,12.237,12.180,YES,2013-03-05,2014-06-10 00:00:00
Kepler-11 f,6541920,K00157.04,Kepler-11 f,19 48 27.627,+41 54 32.91,514,2.430,6.448,46.686,0.310,89.380,SME,53.700,,Mandel and Agol (2002 ApJ 580 171),225.036,518.0,0.252,0.021,3.100e-4,7.200,0.984,1.060,5685,4.380,13.709,14.178,13.653,13.508,13.455,12.548,12.237,12.180,YES,2013-03-05,2014-06-10 00:00:00
Kepler-11 g,6541920,K00157.05,Kepler-11 g,19 48 27.627,+41 54 32.91,377,3.380,9.305,118.378,0.050,89.950,SME,100.000,,Mandel and Agol (2002 ApJ 580 171),287.289,1021.0,0.469,0.029,3.600e-4,7.200,0.984,1.060,5685,4.380,13.709,14.178,13.653,13.508,13.455,12.548,12.237,12.180,YES,2013-03-05,2014-06-10 00:00:00
Kepler-110 b,11086270,K00124.01,Kepler-110 b,19 31 42.993,+48 36 10.12,990,3.010,4.153,12.691,0.903,85.370,SPC,10.980,,Mandel and Agol (2002 ApJ 580 171),137.121,260.0,0.109,0.017,3.300e-4,7.200,1.067,1.580,5899,4.070,12.935,13.288,12.891,12.784,12.769,11.919,11.658,11.623,YES,2014-02-26,2013-12-19 00:00:00
Kepler-110 c,11086270,K00124.02,Kepler-110 c,19 31 42.993,+48 36 10.12,731,3.590,5.350,31.720,0.918,87.660,SPC,20.200,,Mandel and Agol (2002 ApJ 580 171),142.819,359.0,0.200,0.021,3.900e-4,7.200,1.067,1.580,5899,4.070,12.935,13.288,12.891,12.784,12.769,11.919,11.658,11.623,YES,2014-02-26,2013-12-19 00:00:00
Kepler-111 b,8559644,K00139.02,Kepler-111 b,19 26 36.760,+44 41 17.78,1319,1.490,2.902,3.342,0.578,85.370,SME,7.350,,Mandel and Agol (2002 ApJ 580 171),141.352,154.0,0.046,0.012,2.600e-4,2.300,1.171,1.160,5952,4.380,13.492,13.876,13.426,13.327,13.301,12.412,12.111,12.110,YES,2014-02-26,2014-06-10 00:00:00
Kepler-111 c,8559644,K00139.01,Kepler-111 c,19 26 36.760,+44 41 17.78,324,7.340,11.119,224.797,0.707,89.380,SME,121.000,,Mandel and Agol (2002 ApJ 580 171),142.087,3480.0,0.763,0.058,4.900e-4,2.300,1.171,1.160,5952,4.380,13.492,13.876,13.426,13.327,13.301,12.412,12.111,12.110,YES,2014-02-26,2014-06-10 00:00:00
Kepler-112 b,7626506,K00150.01,Kepler-112 b,19 47 55.444,+43 12 35.10,980,3.500,3.596,8.409,0.734,86.520,Pinsonneault,12.900,,Mandel and Agol (2002 ApJ 580 171),134.004,805.0,0.079,0.028,4.400e-4,9.400,0.946,1.150,5822,4.290,13.771,14.282,13.739,13.552,13.448,12.583,12.226,12.155,YES,2014-02-26,2013-12-19 00:00:00
Kepler-112 c,7626506,K00150.02,Kepler-112 c,19 47 55.444,+43 12 35.10,649,3.700,5.190,28.574,0.762,88.240,Pinsonneault,29.100,,Mandel and Agol (2002 ApJ 580 171),143.832,851.0,0.180,0.029,4.700e-4,9.400,0.946,1.150,5822,4.290,13.771,14.282,13.739,13.552,13.448,12.583,12.226,12.155,YES,2014-02-26,2013-12-19 00:00:00
Kepler-113 b,12252424,K00153.02,Kepler-113 b,19 11 59.495,+50 56 39.58,773,2.070,2.597,4.754,0.750,85.940,SME,9.900,,Mandel and Agol (2002 ApJ 580 171),128.547,765.0,0.050,0.028,0.001,7.200,0.745,0.687,4725,4.640,13.461,14.310,13.399,13.097,12.951,11.886,11.360,11.255,YES,2014-01-06,2013-12-19 00:00:00
Kepler-113 c,12252424,K00153.01,Kepler-113 c,19 11 59.495,+50 56 39.58,627,2.470,2.767,8.925,0.833,87.090,SME,15.100,,Mandel and Agol (2002 ApJ 580 171),139.712,977.0,0.076,0.033,0.001,7.200,0.745,0.687,4725,4.640,13.461,14.310,13.399,13.097,12.951,11.886,11.360,11.255,YES,2014-01-06,2013-12-19 00:00:00
Kepler-114 b,10925104,K00156.02,Kepler-114 b,19 36 29.143,+48 20 58.28,722,1.180,2.491,5.189,0.540,87.660,SPC,13.700,,Mandel and Agol (2002 ApJ 580 171),145.363,320.0,0.052,0.017,8.700e-4,8.300,0.709,0.654,4619,4.660,13.738,14.679,13.660,13.334,13.155,12.035,11.469,11.366,YES,2014-02-26,2013-12-19 00:00:00
Kepler-114 c,10925104,K00156.01,Kepler-114 c,19 36 29.143,+48 20 58.28,623,1.600,2.649,8.041,0.650,88.240,SPC,18.400,,Mandel and Agol (2002 ApJ 580 171),143.039,550.0,0.070,0.022,0.001,8.300,0.709,0.654,4619,4.660,13.738,14.679,13.660,13.334,13.155,12.035,11.469,11.366,YES,2013-12-18,2013-12-19 00:00:00
Kepler-114 d,10925104,K00156.03,Kepler-114 d,19 36 29.143,+48 20 58.28,549,2.530,2.926,11.776,0.690,88.240,SPC,24.000,,Mandel and Agol (2002 ApJ 580 171),142.704,1328.0,0.090,0.035,0.002,8.300,0.709,0.654,4619,4.660,13.738,14.679,13.660,13.334,13.155,12.035,11.469,11.366,YES,2013-12-18,2013-12-19 00:00:00
Kepler-115 b,8972058,K00159.02,Kepler-115 b,19 50 50.845,+45 15 42.92,1540,1.330,1.407,2.404,0.941,79.070,Pinsonneault,4.890,,Mandel and Agol (2002 ApJ 580 171),134.728,79.0,0.036,0.010,6.600e-4,5.500,1.040,1.190,6069,4.300,13.431,13.870,13.384,13.243,13.200,12.315,12.028,11.970,YES,2014-02-26,2013-12-19 00:00:00
Kepler-115 c,8972058,K00159.01,Kepler-115 c,19 50 50.845,+45 15 42.92,997,2.800,4.167,8.991,0.731,86.520,Pinsonneault,11.800,,Mandel and Agol (2002 ApJ 580 171),136.736,465.0,0.086,0.021,3.400e-4,5.500,1.040,1.190,6069,4.300,13.431,13.870,13.384,13.243,13.200,12.315,12.028,11.970,YES,2014-02-26,2013-12-19 00:00:00
Kepler-116 b,7831264,K00171.01,Kepler-116 b,19 38 58.096,+43 32 12.59,1170,2.740,3.676,5.969,0.664,85.940,Pinsonneault,9.700,,Mandel and Agol (2002 ApJ 580 171),137.157,504.0,0.069,0.022,3.000e-4,0.340,1.206,1.150,6495,4.400,13.717,14.047,13.668,13.575,13.557,12.703,12.486,12.383,YES,2014-02-26,2013-12-19 00:00:00
Kepler-116 c,7831264,K00171.02,Kepler-116 c,19 38 58.096,+43 32 12.59,902,2.120,3.204,13.072,0.873,87.090,Pinsonneault,16.300,,Mandel and Agol (2002 ApJ 580 171),144.435,256.0,0.116,0.017,4.500e-4,0.340,1.206,1.150,6495,4.400,13.717,14.047,13.668,13.575,13.557,12.703,12.486,12.383,YES,2014-02-26,2013-12-19 00:00:00
Kepler-117 b,10723750,K00209.02,Kepler-117 b,19 15 10.327,+48 02 24.83,792,5.740,7.243,18.796,0.512,88.240,Pinsonneault,18.100,,Mandel and Agol (2002 ApJ 580 171),145.821,2403.0,0.146,0.046,1.300e-4,0.680,1.179,1.135,6438,4.400,14.274,14.607,14.213,14.131,14.095,13.324,12.988,13.011,YES,2014-02-26,2014-06-10 00:00:00
Kepler-117 c,10723750,K00209.01,Kepler-117 c,19 15 10.327,+48 02 24.83,568,8.750,10.950,50.791,0.406,89.380,Pinsonneault,35.120,,Mandel and Agol (2002 ApJ 580 171),135.630,5723.0,0.284,0.071,1.100e-4,0.680,1.179,1.135,6438,4.400,14.274,14.607,14.213,14.131,14.095,13.324,12.988,13.011,YES,2014-02-26,2014-06-10 00:00:00
Kepler-118 b,6152974,K00216.02,Kepler-118 b,19 56 51.160,+41 25 29.39,775,1.300,2.928,7.519,0.029,89.950,Pinsonneault,19.900,,Mandel and Agol (2002 ApJ 580 171),132.523,278.0,0.069,0.015,6.000e-4,13.900,0.770,0.790,5181,4.530,14.711,15.434,14.637,14.400,14.263,13.250,12.769,12.711,YES,2014-02-26,2013-12-19 00:00:00
Kepler-118 c,6152974,K00216.01,Kepler-118 c,19 56 51.160,+41 25 29.39,558,6.100,3.282,20.172,0.690,88.810,Pinsonneault,38.400,,Mandel and Agol (2002 ApJ 580 171),141.209,5243.0,0.133,0.071,0.001,13.900,0.770,0.790,5181,4.530,14.711,15.434,14.637,14.400,14.263,13.250,12.769,12.711,YES,2014-02-26,2013-12-19 00:00:00
Kepler-119 b,7132798,K00220.01,Kepler-119 b,19 43 47.139,+42 39 32.11,1201,3.620,2.626,2.422,0.575,84.800,Pinsonneault,6.160,,Mandel and Agol (2002 ApJ 580 171),132.940,1869.0,0.034,0.041,5.100e-4,0.400,0.918,0.810,5570,4.580,14.236,14.761,14.164,14.011,13.919,12.997,12.636,12.580,YES,2014-02-26,2013-12-19 00:00:00
Kepler-119 c,7132798,K00220.02,Kepler-119 c,19 43 47.139,+42 39 32.11,1000,0.870,3.034,4.125,0.556,86.520,Pinsonneault,8.800,,Mandel and Agol (2002 ApJ 580 171),133.648,110.0,0.049,0.010,4.200e-4,0.400,0.918,0.810,5570,4.580,14.236,14.761,14.164,14.011,13.919,12.997,12.636,12.580,YES,2014-02-26,2013-12-19 00:00:00
Kepler-12 b,11804465,K00020.01,Kepler-12 b,19 04 58.425,+50 02 25.36,1314,17.600,4.671,4.438,0.018,89.950,SME,8.133,,Mandel and Agol (2002 ApJ 580 171),171.008,16465.0,0.056,0.117,8.000e-5,4.010,1.172,1.380,6011,4.230,13.438,13.782,13.374,13.290,13.274,12.406,12.107,12.066,YES,2013-03-05,2013-12-19 00:00:00
Kepler-120 b,4249725,K00222.01,Kepler-120 b,19 11 33.992,+39 20 20.87,639,2.260,2.817,6.313,0.720,86.520,Pinsonneault,12.800,,Mandel and Agol (2002 ApJ 580 171),132.655,1258.0,0.058,0.035,0.002,4.600,0.654,0.592,4533,4.710,14.735,15.714,14.665,14.315,14.100,13.019,12.418,12.307,YES,2014-02-26,2013-12-19 00:00:00
Kepler-120 c,4249725,K00222.02,Kepler-120 c,19 11 33.992,+39 20 20.87,504,1.850,3.501,12.795,0.720,88.240,Pinsonneault,20.500,,Mandel and Agol (2002 ApJ 580 171),130.765,839.0,0.093,0.029,0.002,4.600,0.654,0.592,4533,4.710,14.735,15.714,14.665,14.315,14.100,13.019,12.418,12.307,YES,2014-02-26,2013-12-19 00:00:00
Kepler-121 b,4545187,K00223.01,Kepler-121 b,19 04 38.892,+39 40 40.80,1025,2.840,1.525,3.177,0.780,85.940,Pinsonneault,10.800,,Mandel and Agol (2002 ApJ 580 171),134.477,1163.0,0.040,0.035,0.004,0.500,0.859,0.750,5350,4.620,14.708,15.317,14.646,14.447,14.318,13.320,12.886,12.796,YES,2014-02-26,2013-12-19 00:00:00
Kepler-121 c,4545187,K00223.02,Kepler-121 c,19 04 38.892,+39 40 40.80,436,2.560,4.016,41.008,0.690,89.380,Pinsonneault,60.000,,Mandel and Agol (2002 ApJ 580 171),147.034,1015.0,0.221,0.031,0.004,0.500,0.859,0.750,5350,4.620,14.708,15.317,14.646,14.447,14.318,13.320,12.886,12.796,YES,2014-02-26,2013-12-19 00:00:00
Kepler-122 b,4833421,K00232.02,Kepler-122 b,19 24 26.850,+39 56 56.79,1048,1.920,3.869,5.766,0.445,87.660,Pinsonneault,10.500,,Mandel and Agol (2002 ApJ 580 171),134.017,375.0,0.064,0.018,2.500e-4,0.300,1.070,0.970,6102,4.490,14.247,14.667,14.202,14.067,14.032,13.173,12.887,12.826,YES,2014-02-26,2014-06-10 00:00:00
Kepler-122 c,4833421,K00232.01,Kepler-122 c,19 24 26.850,+39 56 56.79,807,4.700,5.052,12.466,0.482,88.240,Pinsonneault,17.500,,Mandel and Agol (2002 ApJ 580 171),133.999,2211.0,0.108,0.044,3.300e-4,0.300,1.070,0.970,6102,4.490,14.247,14.667,14.202,14.067,14.032,13.173,12.887,12.826,YES,2014-02-26,2014-06-10 00:00:00
Kepler-122 d,4833421,K00232.03,Kepler-122 d,19 24 26.850,+39 56 56.79,674,1.820,4.755,21.587,0.712,88.240,Pinsonneault,25.200,,Mandel and Agol (2002 ApJ 580 171),142.978,305.0,0.155,0.017,4.600e-4,0.300,1.070,0.970,6102,4.490,14.247,14.667,14.202,14.067,14.032,13.173,12.887,12.826,YES,2014-02-26,2014-06-10 00:00:00
Kepler-122 e,4833421,K00232.04,Kepler-122 e,19 24 26.850,+39 56 56.79,558,1.850,6.793,37.994,0.545,89.380,Pinsonneault,36.700,,Mandel and Agol (2002 ApJ 580 171),163.006,340.0,0.226,0.017,4.400e-4,0.300,1.070,0.970,6102,4.490,14.247,14.667,14.202,14.067,14.032,13.173,12.887,12.826,YES,2014-02-26,2014-06-10 00:00:00
Kepler-122 f,4833421,K00232.05,Kepler-122 f,19 24 26.850,+39 56 56.79,489,1.790,8.139,56.257,0.467,89.380,Pinsonneault,47.700,,Mandel and Agol (2002 ApJ 580 171),164.226,326.0,0.294,0.017,4.900e-4,0.300,1.070,0.970,6102,4.490,14.247,14.667,14.202,14.067,14.032,13.173,12.887,12.826,YES,2014-05-28,2014-06-10 00:00:00
Kepler-123 b,7219825,K00238.01,Kepler-123 b,19 47 59.670,+42 46 55.06,770,2.500,4.511,17.232,0.670,88.240,Pinsonneault,23.000,,Mandel and Agol (2002 ApJ 580 171),135.092,509.0,0.136,0.022,7.600e-4,0.480,1.130,1.050,6274,4.440,14.061,14.458,14.013,13.891,13.819,12.982,12.725,12.655,YES,2014-02-26,2014-06-10 00:00:00
