Planet Name,Kepler ID,KOI Name,Alt Name,RA (J2000),Dec (J2000),Planet temp,Planet Radius,Transit duration,Period,Impact Parameter,Inclination,Provenance,a/R,Transit Number,Transit Model,Time of transit,Transit Depth,Semi-major Axis,r/R,r/R err1,Age,Stellar Mass,Stellar Radius,Stellar Teff,Logg,KEP Mag,g Mag,r Mag,i Mag,z Mag,J Mag,H Mag,K Mag,KOI List,Last Update,KOI Vet Date
Kepler-1 b,11446443,K00001.01,TrES-2 b,19 07 14.033,+49 18 59.04,1394,14.4,1.725,2.471,0.822,84.22,SPC,8.445,,Mandel and Agol (2002 ApJ 580 171),122.763,14284,0.036,0.124,0.00008,6.5,0.995,1.06,5814,4.38,11.338,11.736,11.275,11.168,11.126,10.232,9.92,9.846,YES,2013-03-05,2013-12-19 00:00:00
Kepler-10 b,11904151,K00072.01,Kepler-10 b,19 02 43.052,+50 14 28.68,1903,1.37,1.803,0.837,0.174,87.09,SME,3.591,,Mandel and Agol (2002 ApJ 580 171),131.574,195,0.017,0.013,0.00007,10,0.905,1,5627,4.39,10.961,11.388,10.92,10.778,10.729,9.889,9.563,9.496,YES,2013-03-05,2013-10-25 00:00:00
Kepler-10 c,11904151,K00072.02,Kepler-10 c,19 02 43.052,+50 14 28.68,505,2.19,6.859,45.294,0.068,89.95,SME,51.36,,Mandel and Agol (2002 ApJ 580 171),138.678,495,0.241,0.02,0.00013,10,0.905,1,5627,4.39,10.961,11.388,10.92,10.778,10.729,9.889,9.563,9.496,YES,2013-03-05,2013-12-19 00:00:00
Kepler-100 b,6521045,K00041.02,Kepler-100 b,19 25 32.637,+41 59 24.97,1071,1.24,4.476,6.887,0.865,81.93,SME,6.18,,Mandel and Agol (2002 ApJ 580 171),133.176,75,0.073,0.009,0.00016,4.6,1.11,1.23,5909,4.3,11.197,11.585,11.125,11.03,10.992,10.081,9.804,9.768,YES,2014-01-06,2013-12-19 00:00:00
Kepler-100 c,6521045,K00041.01,Kepler-100 c,19 25 32.637,+41 59 24.97,869,2.08,6.538,12.816,0.803,84.8,SME,9.35,,Mandel and Agol (2002 ApJ 580 171),122.951,229,0.111,0.015,0.0001,4.6,1.11,1.23,5909,4.3,11.197,11.585,11.125,11.03,10.992,10.081,9.804,9.768,YES,2014-01-06,2013-12-19 00:00:00
Kepler-100 d,6521045,K00041.03,Kepler-100 d,19 25 32.637,+41 59 24.97,620,1.4,6.143,35.333,0.92,87.09,SME,18.38,,Mandel and Agol (2002 ApJ 580 171),153.984,87,0.218,0.01,0.0003,4.6,1.11,1.23,5909,4.3,11.197,11.585,11.125,11.03,10.992,10.081,9.804,9.768,YES,2014-01-06,2013-12-19 00:00:00
Kepler-101 b,10905239,K00046.01,Kepler-101 b,18 53 01.318,+48 21 18.84,1233,4.33,4.024,3.488,0.753,80.79,SPC,4.785,,Mandel and Agol (2002 ApJ 580 171),170.931,1295,0.047,0.036,0.0001,2.3,1.127,1.105,5764,4.4,13.77,14.406,13.72,13.497,,12.403,12.112,12.011,YES,2014-02-26,2013-12-19 00:00:00
Kepler-101 c,10905239,K00046.02,Kepler-101 c,18 53 01.318,+48 21 18.84,1032,0.96,3.791,6.029,0.837,83.08,SPC,6.89,,Mandel and Agol (2002 ApJ 580 171),132.515,61,0.067,0.008,0.00059,2.3,1.127,1.105,5764,4.4,13.77,14.406,13.72,13.497,,12.403,12.112,12.011,YES,2014-02-26,2013-10-25 00:00:00
Kepler-102 b,10187017,K00082.05,Kepler-102 b,18 45 55.854,+47 12 28.91,792,0.54,2.439,5.287,0.794,85.37,SME,10.3,,Mandel and Agol (2002 ApJ 580 171),135.847,42,0.055,0.007,0.00032,5.1,0.8,0.736,4908,4.61,11.492,12.289,11.428,11.15,11.034,9.984,9.446,9.351,YES,2014-01-06,2013-12-19 00:00:00
Kepler-102 c,10187017,K00082.04,Kepler-102 c,18 45 55.854,+47 12 28.91,718,0.69,3.263,7.071,0.672,87.09,SME,12.5,,Mandel and Agol (2002 ApJ 580 171),139.988,78,0.067,0.009,0.00024,5.1,0.8,0.736,4908,4.61,11.492,12.289,11.428,11.15,11.034,9.984,9.446,9.351,YES,2014-01-06,2013-12-19 00:00:00
Kepler-102 d,10187017,K00082.02,Kepler-102 d,18 45 55.854,+47 12 28.91,634,1.34,3.207,10.312,0.78,87.09,SME,16,,Mandel and Agol (2002 ApJ 580 171),134.08,267,0.086,0.017,0.00029,5.1,0.8,0.736,4908,4.61,11.492,12.289,11.428,11.15,11.034,9.984,9.446,9.351,YES,2014-01-06,2013-12-19 00:00:00
Kepler-102 e,10187017,K00082.01,Kepler-102 e,18 45 55.854,+47 12 28.91,545,2.54,3.754,16.146,0.794,87.66,SME,21.6,,Mandel and Agol (2002 ApJ 580 171),134.753,951,0.116,0.032,0.00049,5.1,0.8,0.736,4908,4.61,11.492,12.289,11.428,11.15,11.034,9.984,9.446,9.351,YES,2014-01-06,2013-12-19 00:00:00
Kepler-102 f,10187017,K00082.03,Kepler-102 f,18 45 55.854,+47 12 28.91,457,1.08,3.829,27.454,0.843,88.24,SME,30.8,,Mandel and Agol (2002 ApJ 580 171),145.026,159,0.165,0.013,0.00033,5.1,0.8,0.736,4908,4.61,11.492,12.289,11.428,11.15,11.034,9.984,9.446,9.351,YES,2014-01-06,2013-12-19 00:00:00
Kepler-103 b,4914423,K00108.01,Kepler-103 b,19 15 56.294,+40 03 52.30,805,2.94,4.652,15.965,0.797,87.09,SME,16.79,,Mandel and Agol (2002 ApJ 580 171),142.176,482,0.13,0.022,0.00014,3.4,1.156,1.21,5975,4.33,12.287,12.649,12.214,12.132,12.091,11.193,10.941,10.873,YES,2014-01-06,2014-06-10 00:00:00
Kepler-103 c,4914423,K00108.02,Kepler-103 c,19 15 56.294,+40 03 52.30,359,4.46,13.436,179.601,0.622,89.38,SME,84.3,,Mandel and Agol (2002 ApJ 580 171),295.33,1234,0.654,0.034,0.00017,3.4,1.156,1.21,5975,4.33,12.287,12.649,12.214,12.132,12.091,11.193,10.941,10.873,YES,2014-01-06,2014-06-10 00:00:00
Kepler-104 b,6678383,K00111.01,Kepler-104 b,19 10 25.107,+42 10 00.40,801,2.14,4.587,11.428,0.539,88.24,SME,16.5,,Mandel and Agol (2002 ApJ 580 171),137.614,496,0.092,0.021,0.0002,12.9,0.807,0.93,5711,4.41,12.596,12.956,12.557,12.442,12.397,11.558,11.251,11.209,YES,2014-02-26,2014-06-10 00:00:00
Kepler-104 c,6678383,K00111.02,Kepler-104 c,19 10 25.107,+42 10 00.40,627,2.05,5.756,23.668,0.558,88.81,SME,26.8,,Mandel and Agol (2002 ApJ 580 171),132.713,455,0.15,0.02,0.00023,12.9,0.807,0.93,5711,4.41,12.596,12.956,12.557,12.442,12.397,11.558,11.251,11.209,YES,2014-02-26,2014-06-10 00:00:00
Kepler-104 d,6678383,K00111.03,Kepler-104 d,19 10 25.107,+42 10 00.40,483,2.36,7.386,51.756,0.578,89.38,SME,45.2,,Mandel and Agol (2002 ApJ 580 171),271.083,598,0.253,0.023,0.00026,12.9,0.807,0.93,5711,4.41,12.596,12.956,12.557,12.442,12.397,11.558,11.251,11.209,YES,2014-02-26,2014-06-10 00:00:00
Kepler-105 b,9579641,K00115.01,Kepler-105 b,19 11 32.959,+46 16 34.47,1296,3.38,2.82,5.412,0.438,88.24,Pinsonneault,13.6,,Mandel and Agol (2002 ApJ 580 171),133.142,598,0.064,0.023,0.00021,3.17,1.18,1.35,6398,4.25,12.791,13.111,12.732,12.654,12.648,11.811,11.555,11.503,YES,2014-01-16,2013-12-19 00:00:00
Kepler-105 c,9579641,K00115.02,Kepler-105 c,19 11 32.959,+46 16 34.47,1182,1.91,2.825,7.126,0.558,88.24,Pinsonneault,16.3,,Mandel and Agol (2002 ApJ 580 171),139.003,185,0.077,0.013,0.00023,3.17,1.18,1.35,6398,4.25,12.791,13.111,12.732,12.654,12.648,11.811,11.555,11.503,YES,2014-02-26,2013-12-19 00:00:00
Kepler-106 b,8395660,K00116.03,Kepler-106 b,20 03 27.356,+44 20 15.18,1025,0.81,2.746,6.165,0.55,87.66,SME,14.5,,Mandel and Agol (2002 ApJ 580 171),135.634,57,0.066,0.007,0.00045,5.2,1.002,1.04,5865,4.41,12.882,13.293,12.85,12.706,12.646,11.752,11.494,11.431,YES,2014-01-06,2013-12-19 00:00:00
Kepler-106 c,8395660,K00116.01,Kepler-106 c,20 03 27.356,+44 20 15.18,791,2.47,3.247,13.571,0.672,88.24,SME,24.6,,Mandel and Agol (2002 ApJ 580 171),136.28,504,0.111,0.022,0.00065,5.2,1.002,1.04,5865,4.41,12.882,13.293,12.85,12.706,12.646,11.752,11.494,11.431,YES,2014-01-06,2013-12-19 00:00:00
Kepler-106 d,8395660,K00116.04,Kepler-106 d,20 03 27.356,+44 20 15.18,653,0.93,4.679,23.981,0.42,89.38,SME,36,,Mandel and Agol (2002 ApJ 580 171),147.528,79,0.163,0.008,0.00056,5.2,1.002,1.04,5865,4.41,12.882,13.293,12.85,12.706,12.646,11.752,11.494,11.431,YES,2014-01-06,2013-10-25 00:00:00
Kepler-106 e,8395660,K00116.02,Kepler-106 e,20 03 27.356,+44 20 15.18,533,2.52,6.329,43.844,0.12,89.95,SME,54,,Mandel and Agol (2002 ApJ 580 171),151.934,613,0.244,0.022,0.00066,5.2,1.002,1.04,5865,4.41,12.882,13.293,12.85,12.706,12.646,11.752,11.494,11.431,YES,2014-01-06,2013-12-19 00:00:00
Kepler-107 b,10875245,K00117.03,Kepler-107 b,19 48 06.782,+48 12 31.00,1345,1.58,3.731,3.18,0.932,69.9,SPC,2.74,,Mandel and Agol (2002 ApJ 580 171),133.504,117,0.045,0.012,0.00019,2.3,1.183,1.18,5949,4.37,12.487,12.904,12.427,12.309,12.274,11.392,11.114,11.06,YES,2014-02-26,2013-12-19 00:00:00
Kepler-107 c,10875245,K00117.02,Kepler-107 c,19 48 06.782,+48 12 31.00,1165,1.71,4.41,4.901,0.924,75.63,SPC,3.65,,Mandel and Agol (2002 ApJ 580 171),138.604,140,0.06,0.013,0.0002,2.3,1.183,1.18,5949,4.37,12.487,12.904,12.427,12.309,12.274,11.392,11.114,11.06,YES,2014-02-26,2013-12-19 00:00:00
Kepler-107 d,10875245,K00117.04,Kepler-107 d,19 48 06.782,+48 12 31.00,991,1.08,4.28,7.958,0.946,79.07,SPC,5.05,,Mandel and Agol (2002 ApJ 580 171),137.816,52,0.083,0.008,0.00038,2.3,1.183,1.18,5949,4.37,12.487,12.904,12.427,12.309,12.274,11.392,11.114,11.06,YES,2014-02-26,2013-12-19 00:00:00
Kepler-107 e,10875245,K00117.01,Kepler-107 e,19 48 06.782,+48 12 31.00,807,2.93,6.716,14.749,0.918,83.08,SPC,7.62,,Mandel and Agol (2002 ApJ 580 171),138.779,420,0.125,0.023,0.00016,2.3,1.183,1.18,5949,4.37,12.487,12.904,12.427,12.309,12.274,11.392,11.114,11.06,YES,2014-02-26,2013-12-19 00:00:00
Kepler-108 b,9471974,K00119.01,Kepler-108 b,19 38 14.202,+46 03 44.38,480,3.9,11.474,49.184,0.554,88.81,Pinsonneault,28.73,,Mandel and Agol (2002 ApJ 580 171),141.91,1590,0.252,0.038,0.00009,8.9,0.89,0.94,5632,4.44,12.654,13.127,12.528,12.452,12.313,11.43,11.065,10.983,YES,2014-02-26,2014-06-10 00:00:00
Kepler-108 c,9471974,K00119.02,Kepler-108 c,19 38 14.202,+46 03 44.38,306,3.4,15.635,190.313,0.698,89.38,Pinsonneault,70.81,,Mandel and Agol (2002 ApJ 580 171),312.681,1138,0.622,0.033,0.0002,8.9,0.89,0.94,5632,4.44,12.654,13.127,12.528,12.452,12.313,11.43,11.065,10.983,YES,2014-02-26,2014-06-10 00:00:00
Kepler-109 b,5094751,K00123.01,Kepler-109 b,19 21 34.255,+40 17 05.53,1181,2.64,3.633,6.482,0.563,87.09,SME,11.6,,Mandel and Agol (2002 ApJ 580 171),122.974,315,0.069,0.017,0.00015,7.29,1.057,1.43,5871,4.15,12.365,12.735,12.3,12.206,12.175,11.314,11.046,11.001,YES,2014-01-06,2013-12-19 00:00:00
Kepler-109 c,5094751,K00123.02,Kepler-109 c,19 21 34.255,+40 17 05.53,793,2.71,6.471,21.223,0.01,89.95,SME,25.5,,Mandel and Agol (2002 ApJ 580 171),137.574,362,0.153,0.017,0.00016,7.29,1.057,1.43,5871,4.15,12.365,12.735,12.3,12.206,12.175,11.314,11.046,11.001,YES,2014-01-06,2013-12-19 00:00:00
Kepler-11 b,6541920,K00157.06,Kepler-11 b,19 48 27.627,+41 54 32.91,851,1.72,4.028,10.304,0.15,89.38,SME,19.6,,Mandel and Agol (2002 ApJ 580 171),138.504,260,0.092,0.015,0.00026,7.2,0.984,1.06,5685,4.38,13.709,14.178,13.653,13.508,13.455,12.548,12.237,12.18,YES,2013-03-05,2014-06-10 00:00:00
Kepler-11 c,6541920,K00157.01,Kepler-11 c,19 48 27.627,+41 54 32.91,785,2.88,4.431,13.025,0.08,89.95,SME,22.9,,Mandel and Agol (2002 ApJ 580 171),138.178,739,0.108,0.025,0.00027,7.2,0.984,1.06,5685,4.38,13.709,14.178,13.653,13.508,13.455,12.548,12.237,12.18,YES,2013-03-05,2014-06-10 00:00:00
Kepler-11 d,6541920,K00157.02,Kepler-11 d,19 48 27.627,+41 54 32.91,653,3.2,5.353,22.687,0.06,89.95,SME,33.2,,Mandel and Agol (2002 ApJ 580 171),148.455,914,0.156,0.028,0.0003,7.2,0.984,1.06,5685,4.38,13.709,14.178,13.653,13.508,13.455,12.548,12.237,12.18,YES,2013-03-05,2014-06-10 00:00:00
Kepler-11 e,6541920,K00157.03,Kepler-11 e,19 48 27.627,+41 54 32.91,583,4.18,4.275,31.995,0.735,88.81,SME,41.8,,Mandel and Agol (2002 ApJ 580 171),154.161,1343,0.196,0.036,0.00046,7.2,0.984,1.06,5685,4.38,13.709,14.178,13.653,13.508,13.455,12.548,12.237,12.18,YES,2013-03-05,2014-06-10 00:00:00
Kepler-11 f,6541920,K00157.04,Kepler-11 f,19 48 27.627,+41 54 32.91,514,2.43,6.448,46.686,0.31,89.38,SME,53.7,,Mandel and Agol (2002 ApJ 580 171),225.036,518,0.252,0.021,0.00031,7.2,0.984,1.06,5685,4.38,13.709,14.178,13.653,13.508,13.455,12.548,12.237,12.18,YES,2013-03-05,2014-06-10 00:00:00
Kepler-11 g,6541920,K00157.05,Kepler-11 g,19 48 27.627,+41 54 32.91,377,3.38,9.305,118.378,0.05,89.95,SME,100,,Mandel and Agol (2002 ApJ 580 171),287.289,1021,0.469,0.029,0.00036,7.2,0.984,1.06,5685,4.38,13.709,14.178,13.653,13.508,13.455,12.548,12.237,12.18,YES,2013-03-05,2014-06-10 00:00:00
Kepler-110 b,11086270,K00124.01,Kepler-110 b,19 31 42.993,+48 36 10.12,990,3.01,4.153,12.691,0.903,85.37,SPC,10.98,,Mandel and Agol (2002 ApJ 580 171),137.121,260,0.109,0.017,0.00033,7.2,1.067,1.58,5899,4.07,12.935,13.288,12.891,12.784,12.769,11.919,11.658,11.623,YES,2014-02-26,2013-12-19 00:00:00
Kepler-110 c,11086270,K00124.02,Kepler-110 c,19 31 42.993,+48 36 10.12,731,3.59,5.35,31.72,0.918,87.66,SPC,20.2,,Mandel and Agol (2002 ApJ 580 171),142.819,359,0.2,0.021,0.00039,7.2,1.067,1.58,5899,4.07,12.935,13.288,12.891,12.784,12.769,11.919,11.658,11.623,YES,2014-02-26,2013-12-19 00:00:00
Kepler-111 b,8559644,K00139.02,Kepler-111 b,19 26 36.760,+44 41 17.78,1319,1.49,2.902,3.342,0.578,85.37,SME,7.35,,Mandel and Agol (2002 ApJ 580 171),141.352,154,0.046,0.012,0.00026,2.3,1.171,1.16,5952,4.38,13.492,13.876,13.426,13.327,13.301,12.412,12.111,12.11,YES,2014-02-26,2014-06-10 00:00:00
Kepler-111 c,8559644,K00139.01,Kepler-111 c,19 26 36.760,+44 41 17.78,324,7.34,11.119,224.797,0.707,89.38,SME,121,,Mandel and Agol (2002 ApJ 580 171),142.087,3480,0.763,0.058,0.00049,2.3,1.171,1.16,5952,4.38,13.492,13.876,13.426,13.327,13.301,12.412,12.111,12.11,YES,2014-02-26,2014-06-10 00:00:00
Kepler-112 b,7626506,K00150.01,Kepler-112 b,19 47 55.444,+43 12 35.10,980,3.5,3.596,8.409,0.734,86.52,Pinsonneault,12.9,,Mandel and Agol (2002 ApJ 580 171),134.004,805,0.079,0.028,0.00044,9.4,0.946,1.15,5822,4.29,13.771,14.282,13.739,13.552,13.448,12.583,12.226,12.155,YES,2014-02-26,2013-12-19 00:00:00
Kepler-112 c,7626506,K00150.02,Kepler-112 c,19 47 55.444,+43 12 35.10,649,3.7,5.19,28.574,0.762,88.24,Pinsonneault,29.1,,Mandel and Agol (2002 ApJ 580 171),143.832,851,0.18,0.029,0.00047,9.4,0.946,1.15,5822,4.29,13.771,14.282,13.739,13.552,13.448,12.583,12.226,12.155,YES,2014-02-26,2013-12-19 00:00:00
Kepler-113 b,12252424,K00153.02,Kepler-113 b,19 11 59.495,+50 56 39.58,773,2.07,2.597,4.754,0.75,85.94,SME,9.9,,Mandel and Agol (2002 ApJ 580 171),128.547,765,0.05,0.028,0.001,7.2,0.745,0.687,4725,4.64,13.461,14.31,13.399,13.097,12.951,11.886,11.36,11.255,YES,2014-01-06,2013-12-19 00:00:00
Kepler-113 c,12252424,K00153.01,Kepler-113 c,19 11 59.495,+50 56 39.58,627,2.47,2.767,8.925,0.833,87.09,SME,15.1,,Mandel and Agol (2002 ApJ 580 171),139.712,977,0.076,0.033,0.001,7.2,0.745,0.687,4725,4.64,13.461,14.31,13.399,13.097,12.951,11.886,11.36,11.255,YES,2014-01-06,2013-12-19 00:00:00
Kepler-114 b,10925104,K00156.02,Kepler-114 b,19 36 29.143,+48 20 58.28,722,1.18,2.491,5.189,0.54,87.66,SPC,13.7,,Mandel and Agol (2002 ApJ 580 171),145.363,320,0.052,0.017,0.00087,8.3,0.709,0.654,4619,4.66,13.738,14.679,13.66,13.334,13.155,12.035,11.469,11.366,YES,2014-02-26,2013-12-19 00:00:00
Kepler-114 c,10925104,K00156.01,Kepler-114 c,19 36 29.143,+48 20 58.28,623,1.6,2.649,8.041,0.65,88.24,SPC,18.4,,Mandel and Agol (2002 ApJ 580 171),143.039,550,0.07,0.022,0.001,8.3,0.709,0.654,4619,4.66,13.738,14.679,13.66,13.334,13.155,12.035,11.469,11.366,YES,2013-12-18,2013-12-19 00:00:00
Kepler-114 d,10925104,K00156.03,Kepler-114 d,19 36 29.143,+48 20 58.28,549,2.53,2.926,11.776,0.69,88.24,SPC,24,,Mandel and Agol (2002 ApJ 580 171),142.704,1328,0.09,0.035,0.002,8.3,0.709,0.654,4619,4.66,13.738,14.679,13.66,13.334,13.155,12.035,11.469,11.366,YES,2013-12-18,2013-12-19 00:00:00
Kepler-115 b,8972058,K00159.02,Kepler-115 b,19 50 50.845,+45 15 42.92,1540,1.33,1.407,2.404,0.941,79.07,Pinsonneault,4.89,,Mandel and Agol (2002 ApJ 580 171),134.728,79,0.036,0.01,0.00066,5.5,1.04,1.19,6069,4.3,13.431,13.87,13.384,13.243,13.2,12.315,12.028,11.97,YES,2014-02-26,2013-12-19 00:00:00
Kepler-115 c,8972058,K00159.01,Kepler-115 c,19 50 50.845,+45 15 42.92,997,2.8,4.167,8.991,0.731,86.52,Pinsonneault,11.8,,Mandel and Agol (2002 ApJ 580 171),136.736,465,0.086,0.021,0.00034,5.5,1.04,1.19,6069,4.3,13.431,13.87,13.384,13.243,13.2,12.315,12.028,11.97,YES,2014-02-26,2013-12-19 00:00:00
Kepler-116 b,7831264,K00171.01,Kepler-116 b,19 38 58.096,+43 32 12.59,1170,2.74,3.676,5.969,0.664,85.94,Pinsonneault,9.7,,Mandel and Agol (2002 ApJ 580 171),137.157,504,0.069,0.022,0.0003,0.34,1.206,1.15,6495,4.4,13.717,14.047,13.668,13.575,13.557,12.703,12.486,12.383,YES,2014-02-26,2013-12-19 00:00:00
Kepler-116 c,7831264,K00171.02,Kepler-116 c,19 38 58.096,+43 32 12.59,902,2.12,3.204,13.072,0.873,87.09,Pinsonneault,16.3,,Mandel and Agol (2002 ApJ 580 171),144.435,256,0.116,0.017,0.00045,0.34,1.206,1.15,6495,4.4,13.717,14.047,13.668,13.575,13.557,12.703,12.486,12.383,YES,2014-02-26,2013-12-19 00:00:00
Kepler-117 b,10723750,K00209.02,Kepler-117 b,19 15 10.327,+48 02 24.83,792,5.74,7.243,18.796,0.512,88.24,Pinsonneault,18.1,,Mandel and Agol (2002 ApJ 580 171),145.821,2403,0.146,0.046,0.00013,0.68,1.179,1.135,6438,4.4,14.274,14.607,14.213,14.131,14.095,13.324,12.988,13.011,YES,2014-02-26,2014-06-10 00:00:00
Kepler-117 c,10723750,K00209.01,Kepler-117 c,19 15 10.327,+48 02 24.83,568,8.75,10.95,50.791,0.406,89.38,Pinsonneault,35.12,,Mandel and Agol (2002 ApJ 580 171),135.63,5723,0.284,0.071,0.00011,0.68,1.179,1.135,6438,4.4,14.274,14.607,14.213,14.131,14.095,13.324,12.988,13.011,YES,2014-02-26,2014-06-10 00:00:00
Kepler-118 b,6152974,K00216.02,Kepler-118 b,19 56 51.160,+41 25 29.39,775,1.3,2.928,7.519,0.029,89.95,Pinsonneault,19.9,,Mandel and Agol (2002 ApJ 580 171),132.523,278,0.069,0.015,0.0006,13.9,0.77,0.79,5181,4.53,14.711,15.434,14.637,14.4,14.263,13.25,12.769,12.711,YES,2014-02-26,2013-12-19 00:00:00
Kepler-118 c,6152974,K00216.01,Kepler-118 c,19 56 51.160,+41 25 29.39,558,6.1,3.282,20.172,0.69,88.81,Pinsonneault,38.4,,Mandel and Agol (2002 ApJ 580 171),141.209,5243,0.133,0.071,0.001,13.9,0.77,0.79,5181,4.53,14.711,15.434,14.637,14.4,14.263,13.25,12.769,12.711,YES,2014-02-26,2013-12-19 00:00:00
Kepler-119 b,7132798,K00220.01,Kepler-119 b,19 43 47.139,+42 39 32.11,1201,3.62,2.626,2.422,0.575,84.8,Pinsonneault,6.16,,Mandel and Agol (2002 ApJ 580 171),132.94,1869,0.034,0.041,0.00051,0.4,0.918,0.81,5570,4.58,14.236,14.761,14.164,14.011,13.919,12.997,12.636,12.58,YES,2014-02-26,2013-12-19 00:00:00
Kepler-119 c,7132798,K00220.02,Kepler-119 c,19 43 47.139,+42 39 32.11,1000,0.87,3.034,4.125,0.556,86.52,Pinsonneault,8.8,,Mandel and Agol (2002 ApJ 580 171),133.648,110,0.049,0.01,0.00042,0.4,0.918,0.81,5570,4.58,14.236,14.761,14.164,14.011,13.919,12.997,12.636,12.58,YES,2014-02-26,2013-12-19 00:00:00
Kepler-12 b,11804465,K00020.01,Kepler-12 b,19 04 58.425,+50 02 25.36,1314,17.6,4.671,4.438,0.018,89.95,SME,8.133,,Mandel and Agol (2002 ApJ 580 171),171.008,16465,0.056,0.117,0.00008,4.01,1.172,1.38,6011,4.23,13.438,13.782,13.374,13.29,13.274,12.406,12.107,12.066,YES,2013-03-05,2013-12-19 00:00:00
Kepler-120 b,4249725,K00222.01,Kepler-120 b,19 11 33.992,+39 20 20.87,639,2.26,2.817,6.313,0.72,86.52,Pinsonneault,12.8,,Mandel and Agol (2002 ApJ 580 171),132.655,1258,0.058,0.035,0.002,4.6,0.654,0.592,4533,4.71,14.735,15.714,14.665,14.315,14.1,13.019,12.418,12.307,YES,2014-02-26,2013-12-19 00:00:00
Kepler-120 c,4249725,K00222.02,Kepler-120 c,19 11 33.992,+39 20 20.87,504,1.85,3.501,12.795,0.72,88.24,Pinsonneault,20.5,,Mandel and Agol (2002 ApJ 580 171),130.765,839,0.093,0.029,0.002,4.6,0.654,0.592,4533,4.71,14.735,15.714,14.665,14.315,14.1,13.019,12.418,12.307,YES,2014-02-26,2013-12-19 00:00:00
Kepler-121 b,4545187,K00223.01,Kepler-121 b,19 04 38.892,+39 40 40.80,1025,2.84,1.525,3.177,0.78,85.94,Pinsonneault,10.8,,Mandel and Agol (2002 ApJ 580 171),134.477,1163,0.04,0.035,0.004,0.5,0.859,0.75,5350,4.62,14.708,15.317,14.646,14.447,14.318,13.32,12.886,12.796,YES,2014-02-26,2013-12-19 00:00:00
Kepler-121 c,4545187,K00223.02,Kepler-121 c,19 04 38.892,+39 40 40.80,436,2.56,4.016,41.008,0.69,89.38,Pinsonneault,60,,Mandel and Agol (2002 ApJ 580 171),147.034,1015,0.221,0.031,0.004,0.5,0.859,0.75,5350,4.62,14.708,15.317,14.646,14.447,14.318,13.32,12.886,12.796,YES,2014-02-26,2013-12-19 00:00:00
Kepler-122 b,4833421,K00232.02,Kepler-122 b,19 24 26.850,+39 56 56.79,1048,1.92,3.869,5.766,0.445,87.66,Pinsonneault,10.5,,Mandel and Agol (2002 ApJ 580 171),134.017,375,0.064,0.018,0.00025,0.3,1.07,0.97,6102,4.49,14.247,14.667,14.202,14.067,14.032,13.173,12.887,12.826,YES,2014-02-26,2014-06-10 00:00:00
Kepler-122 c,4833421,K00232.01,Kepler-122 c,19 24 26.850,+39 56 56.79,807,4.7,5.052,12.466,0.482,88.24,Pinsonneault,17.5,,Mandel and Agol (2002 ApJ 580 171),133.999,2211,0.108,0.044,0.00033,0.3,1.07,0.97,6102,4.49,14.247,14.667,14.202,14.067,14.032,13.173,12.887,12.826,YES,2014-02-26,2014-06-10 00:00:00
Kepler-122 d,4833421,K00232.03,Kepler-122 d,19 24 26.850,+39 56 56.79,674,1.82,4.755,21.587,0.712,88.24,Pinsonneault,25.2,,Mandel and Agol (2002 ApJ 580 171),142.978,305,0.155,0.017,0.00046,0.3,1.07,0.97,6102,4.49,14.247,14.667,14.202,14.067,14.032,13.173,12.887,12.826,YES,2014-02-26,2014-06-10 00:00:00
Kepler-122 e,4833421,K00232.04,Kepler-122 e,19 24 26.850,+39 56 56.79,558,1.85,6.793,37.994,0.545,89.38,Pinsonneault,36.7,,Mandel and Agol (2002 ApJ 580 171),163.006,340,0.226,0.017,0.00044,0.3,1.07,0.97,6102,4.49,14.247,14.667,14.202,14.067,14.032,13.173,12.887,12.826,YES,2014-02-26,2014-06-10 00:00:00
Kepler-122 f,4833421,K00232.05,Kepler-122 f,19 24 26.850,+39 56 56.79,489,1.79,8.139,56.257,0.467,89.38,Pinsonneault,47.7,,Mandel and Agol (2002 ApJ 580 171),164.226,326,0.294,0.017,0.00049,0.3,1.07,0.97,6102,4.49,14.247,14.667,14.202,14.067,14.032,13.173,12.887,12.826,YES,2014-05-28,2014-06-10 00:00:00
Kepler-123 b,7219825,K00238.01,Kepler-123 b,19 47 59.670,+42 46 55.06,770,2.5,4.511,17.232,0.67,88.24,Pinsonneault,23,,Mandel and Agol (2002 ApJ 580 171),135.092,509,0.136,0.022,0.00076,0.48,1.13,1.05,6274,4.44,14.061,14.458,14.013,13.891,13.819,12.982,12.725,12.655,YES,2014-02-26,2014-06-10 00:00:00
Kepler-123 c,7219825,K00238.02,Kepler-123 c,19 47 59.670,+42 46 55.06,666,1.41,4.183,26.694,0.8,88.24,Pinsonneault,30,,Mandel and Agol (2002 ApJ 580 171),144.015,147,0.182,0.012,0.00083,0.48,1.13,1.05,6274,4.44,14.061,14.458,14.013,13.891,13.819,12.982,12.725,12.655,YES,2014-02-26,2014-06-10 00:00:00
Kepler-124 b,11288051,K00241.03,Kepler-124 b,19 07 00.666,+49 03 53.68,979,0.93,2.341,3.411,0.67,85.37,Pinsonneault,8.5,,Mandel and Agol (2002 ApJ 580 171),131.573,142,0.042,0.011,0.00059,0.7,0.841,0.74,5288,4.62,14.139,14.74,14.089,13.881,13.749,12.78,12.314,12.233,YES,2014-02-26,2013-12-19 00:00:00
